"taxon","genus","tribe","subfamily","family","order","class"
"Oxyuranus_temporalis","Oxyuranus",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_affinis","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_aspidorhyncha","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_guttata","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_inframacula","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_ingrami","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_mengdeni","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_modesta","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_nuchalis","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Pseudonaja_textilis","Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria"
"Brachyurophis_approximans","Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria"
"Brachyurophis_australis","Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria"
"Brachyurophis_fasciolatus","Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria"
"Brachyurophis_incinctus","Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria"
"Brachyurophis_morrisi","Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria"
"Brachyurophis_roperi","Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria"
"Brachyurophis_semifasciatus","Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria"
"Cryptophis_boschmai","Cryptophis",,,"Elapidae","Squamata","Lepidosauria"
"Cryptophis_incredibilis","Cryptophis",,,"Elapidae","Squamata","Lepidosauria"
"Cryptophis_nigrescens","Cryptophis",,,"Elapidae","Squamata","Lepidosauria"
"Cryptophis_nigrostriatus","Cryptophis",,,"Elapidae","Squamata","Lepidosauria"
"Cryptophis_pallidiceps","Cryptophis",,,"Elapidae","Squamata","Lepidosauria"
"Rhinoplocephalus_bicolor","Rhinoplocephalus",,,"Elapidae","Squamata","Lepidosauria"
"Demansia_angusticeps","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_calodera","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_flagellatio","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_olivacea","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_papuensis","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_psammophis","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_quaesitor","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_rimicola","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_rufescens","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
