taxon,taxon1,taxon2,genus,tribe,subfamily,family,order,class,agg.ssp,rand.type,poly.ins
Heliconia_lozanoi,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lourteigiae,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lophocarpa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_longiflora,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lindsayana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_librata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lentiginosa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_laufao,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lasiorachis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lankesteri,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_laneana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lanata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_kautzkiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_juruana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_juliani,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_impudica,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_ignescens,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_huilensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_holmquistiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_harlingii,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_gracilis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_gloriosa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_gilbertiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_gigantea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_gaiboriana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_fredberryana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_fragilis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_fernandezii,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_farinosa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_estiletioides,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_estherae,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_episcopalis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_donstonea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_dielsiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_dasyantha,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_darienensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_danielsiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_curtispatha,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_crassa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_cordata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_combinata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_colgantea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_caquetensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_calatheiphylla,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
