"taxon","genus","tribe","subfamily","family","order","class"
"Saguinus_labiatus","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_mystax","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_inustus","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_imperator","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_niger","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_midas","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_oedipus","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_geoffroyi","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_martinsi","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saguinus_bicolor","Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_leucogenys","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_illigeri","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_lagonotus","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_tripartitus","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_nigricollis","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_cruzlimai","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_weddelli","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_nigrifrons","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontocebus_fuscicollis","Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontopithecus_rosalia","Leontopithecus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Leontopithecus_chrysomelas","Leontopithecus",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Callithrix_penicillata","Callithrix",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Callithrix_jacchus","Callithrix",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Callithrix_geoffroyi","Callithrix",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Callithrix_kuhlii","Callithrix",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Callithrix_aurita","Callithrix",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Mico_melanurus","Mico",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Cebuella_pygmaea","Cebuella",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Mico_humeralifer","Mico",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Mico_argentatus","Mico",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Mico_mauesi","Mico",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Callimico_goeldii","Callimico",,"Callitrichinae","Cebidae","Primates","Mammalia"
"Saimiri_boliviensis","Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia"
"Saimiri_oerstedii","Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia"
"Saimiri_ustus","Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia"
"Saimiri_vanzolinii","Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia"
"Saimiri_sciureus","Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia"
"Sapajus_xanthosternos","Sapajus",,"Cebinae","Cebidae","Primates","Mammalia"
"Sapajus_nigritus","Sapajus",,"Cebinae","Cebidae","Primates","Mammalia"
