"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Vermicella_multifasciata",,,"Vermicella",,,"Elapidae","Squamata","Lepidosauria",,,
"Vermicella_snelli",,,"Vermicella",,,"Elapidae","Squamata","Lepidosauria",,,
"Vermicella_annulata",,,"Vermicella",,,"Elapidae","Squamata","Lepidosauria",,,
"Vermicella_intermedia",,,"Vermicella",,,"Elapidae","Squamata","Lepidosauria",,,
"Neelaps_calonotus",,,"Neelaps",,,"Elapidae","Squamata","Lepidosauria",,,
"Hemiaspis_signata",,,"Hemiaspis",,,"Elapidae","Squamata","Lepidosauria",,,
"Hemiaspis_damelii",,,"Hemiaspis",,,"Elapidae","Squamata","Lepidosauria",,,
"Rhinoplocephalus_bicolor",,,"Rhinoplocephalus",,,"Elapidae","Squamata","Lepidosauria",,,
"Bungarus_magnimaculatus",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_ceylonicus",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_slowinskii",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_niger",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_bungaroides",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_sindanus",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_caeruleus",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_candidus",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_multicinctus",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_flaviceps",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Bungarus_fasciatus",,,"Bungarus",,"Bungarinae","Elapidae","Squamata","Lepidosauria",,,
"Demansia_psammophis",,,"Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Demansia_papuensis",,,"Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Demansia_vestigiata",,,"Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Tropidechis_carinatus",,,"Tropidechis",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Hoplocephalus_bitorquatus",,,"Hoplocephalus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Hoplocephalus_stephensii",,,"Hoplocephalus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Hoplocephalus_bungaroides",,,"Hoplocephalus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Micropechis_ikaheca",,,"Micropechis",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Drysdalia_rhodogaster",,,"Drysdalia",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Drysdalia_mastersii",,,"Drysdalia",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Drysdalia_coronoides",,,"Drysdalia",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Aspidomorphus_schlegelii",,,"Aspidomorphus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Aspidomorphus_lineaticollis",,,"Aspidomorphus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Aspidomorphus_muelleri",,,"Aspidomorphus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_ernstmayri",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_mintoni",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_misimae",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_pachysomus",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_longissimus",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_stanleyanus",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_holopelturus",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_loriae",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Toxicocalamus_preussi",,,"Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria",,,
"Laticauda_guineai",,,"Laticauda",,"Laticaudinae","Elapidae","Squamata","Lepidosauria",,,
"Laticauda_frontalis",,,"Laticauda",,"Laticaudinae","Elapidae","Squamata","Lepidosauria",,,
"Laticauda_saintgironsi",,,"Laticauda",,"Laticaudinae","Elapidae","Squamata","Lepidosauria",,,
"Laticauda_semifasciata",,,"Laticauda",,"Laticaudinae","Elapidae","Squamata","Lepidosauria",,,
"Laticauda_laticaudata",,,"Laticauda",,"Laticaudinae","Elapidae","Squamata","Lepidosauria",,,
"Laticauda_crockeri",,,"Laticauda",,"Laticaudinae","Elapidae","Squamata","Lepidosauria",,,
"Laticauda_colubrina",,,"Laticauda",,"Laticaudinae","Elapidae","Squamata","Lepidosauria",,,
"Brachyurophis_morrisi",,,"Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Brachyurophis_incinctus",,,"Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Brachyurophis_approximans",,,"Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Brachyurophis_roperi",,,"Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Brachyurophis_australis",,,"Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Brachyurophis_semifasciatus",,,"Brachyurophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Hemibungarus_calligaster",,,"Hemibungarus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Sinomicrurus_peinani",,,"Sinomicrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Sinomicrurus_houi",,,"Sinomicrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Sinomicrurus_sauteri",,,"Sinomicrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Sinomicrurus_hatori",,,"Sinomicrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Sinomicrurus_macclellandi",,,"Sinomicrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Sinomicrurus_japonicus",,,"Sinomicrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Sinomicrurus_kelloggi",,,"Sinomicrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Walterinnesia_morgani",,,"Walterinnesia",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Walterinnesia_aegyptia",,,"Walterinnesia",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Elapsoidea_loveridgei",,,"Elapsoidea",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Elapsoidea_sundevallii",,,"Elapsoidea",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Elapsoidea_nigra",,,"Elapsoidea",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Elapsoidea_semiannulata",,,"Elapsoidea",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micruroides_euryxanthus",,,"Micruroides",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Calliophis_salitan",,,"Calliophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Calliophis_intestinalis",,,"Calliophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Calliophis_bibroni",,,"Calliophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Calliophis_melanurus",,,"Calliophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Calliophis_castoe",,,"Calliophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Calliophis_nigrescens",,,"Calliophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Calliophis_bivirgatus",,,"Calliophis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Ophiophagus_hannah",,,"Ophiophagus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_savannula",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_peroescobari",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_subfulva",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_guineensis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_sumatrana",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_senegalensis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_arabica",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_ashei",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_nigricincta",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_katiensis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_cf._nigricollis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_anchietae",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_sagittifera",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_nubiae",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_multifasciata",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_mandalayensis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_annulifera",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_siamensis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_naja",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_sputatrix",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_samarensis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_philippinensis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_pallida",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_oxiana",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_atra",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_nivea",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_nigricollis",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_kaouthia",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_mossambica",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_melanoleuca",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_haje",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_christyi",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Naja_annulata",,,"Naja",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_filiformis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_diutius",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
