"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Lemur_catta",,,"Lemur",,,"Lemuridae","Primates","Mammalia",,,
"Aotus_zonalis",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_brumbacki",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_griseimembra",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_vociferans",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_nigriceps",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_lemurinus",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_nancymaae",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_azarai",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Aotus_trivirgatus",,,"Aotus",,,"Aotidae","Primates","Mammalia",,,
"Hoolock_tianxing",,,"Hoolock",,,"Hylobatidae","Primates","Mammalia",,,
"Hoolock_leuconedys",,,"Hoolock",,,"Hylobatidae","Primates","Mammalia",,,
"Hoolock_hoolock",,,"Hoolock",,,"Hylobatidae","Primates","Mammalia",,,
"Symphalangus_syndactylus",,,"Symphalangus",,,"Hylobatidae","Primates","Mammalia",,,
"Nomascus_annamensis",,,"Nomascus",,,"Hylobatidae","Primates","Mammalia",,,
"Nomascus_hainanus",,,"Nomascus",,,"Hylobatidae","Primates","Mammalia",,,
"Nomascus_nasutus",,,"Nomascus",,,"Hylobatidae","Primates","Mammalia",,,
"Nomascus_leucogenys",,,"Nomascus",,,"Hylobatidae","Primates","Mammalia",,,
"Nomascus_gabriellae",,,"Nomascus",,,"Hylobatidae","Primates","Mammalia",,,
"Nomascus_concolor",,,"Nomascus",,,"Hylobatidae","Primates","Mammalia",,,
"Nomascus_siki",,,"Nomascus",,,"Hylobatidae","Primates","Mammalia",,,
"Hylobates_albibarbis",,,"Hylobates",,,"Hylobatidae","Primates","Mammalia",,,
"Hylobates_moloch",,,"Hylobates",,,"Hylobatidae","Primates","Mammalia",,,
"Hylobates_pileatus",,,"Hylobates",,,"Hylobatidae","Primates","Mammalia",,,
"Hylobates_muelleri",,,"Hylobates",,,"Hylobatidae","Primates","Mammalia",,,
"Hylobates_klossii",,,"Hylobates",,,"Hylobatidae","Primates","Mammalia",,,
"Hylobates_lar",,,"Hylobates",,,"Hylobatidae","Primates","Mammalia",,,
"Hylobates_agilis",,,"Hylobates",,,"Hylobatidae","Primates","Mammalia",,,
"Brachyteles_hypoxanthus",,,"Brachyteles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Brachyteles_arachnoides",,,"Brachyteles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Lagothrix_tschudii",,,"Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Lagothrix_flavicauda",,,"Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Lagothrix_cana",,,"Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Lagothrix_poeppigii",,,"Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Lagothrix_lugens",,,"Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Lagothrix_lagotricha",,,"Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Ateles_marginatus",,,"Ateles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Ateles_hybridus",,,"Ateles",,"Atelinae","Atelidae","Primates","Mammalia",,,
